,season,team,player
451,2015,Delhi Daredevils,JA Morkel
452,2009,Rajasthan Royals,SM Harwood
453,2011,Mumbai Indians,DS Kulkarni
454,2014,Mumbai Indians,P Suyal
455,2013,Kings XI Punjab,DA Miller
456,2008,Royal Challengers Bangalore,DT Patil
457,2008,Deccan Chargers,RP Singh
458,2011,Kolkata Knight Riders,MS Bisla
459,2011,Deccan Chargers,I Sharma
460,2011,Pune Warriors,Kamran Khan
461,2012,Deccan Chargers,TP Sudhindra
462,2011,Mumbai Indians,AT Rayudu
463,2008,Rajasthan Royals,T Kohli
464,2012,Rajasthan Royals,GB Hogg
465,2018,Kings XI Punjab,M Ur Rahman
466,2018,Delhi Daredevils,NV Ojha
467,2016,Delhi Daredevils,RR Pant
468,2018,Royal Challengers Bangalore,K Khejroliya
469,2011,Kochi Tuskers Kerala,P Prasanth
470,2019,Delhi Capitals,AR Patel
471,2019,Kings XI Punjab,M Ur Rahman
472,2011,Royal Challengers Bangalore,KB Arun Karthik
473,2009,Kolkata Knight Riders,DJ Hussey
474,2010,Kings XI Punjab,VS Malik
475,2013,Delhi Daredevils,MC Juneja
476,2019,Kolkata Knight Riders,KD Karthik
477,2011,Kolkata Knight Riders,Iqbal Abdulla
478,2009,Delhi Daredevils,PJ Sangwan
479,2016,Rising Pune Supergiants,M Ashwin
480,2019,Royal Challengers Bangalore,P Negi
481,2008,Kings XI Punjab,SM Katich
482,2012,Pune Warriors,MN Samuels
483,2008,Delhi Daredevils,B Geeves
484,2015,Rajasthan Royals,PV Tambe
485,2010,Royal Challengers Bangalore,R Dravid
486,2009,Royal Challengers Bangalore,KV Sharma
487,2009,Delhi Daredevils,TM Dilshan
488,2010,Chennai Super Kings,DE Bollinger
489,2014,Kings XI Punjab,SE Marsh
490,2011,Pune Warriors,RV Uthappa
491,2016,Royal Challengers Bangalore,Parvez Rasool
492,2018,Rajasthan Royals,Anureet Singh
493,2011,Kolkata Knight Riders,BJ Haddin
494,2013,Royal Challengers Bangalore,A Mithun
495,2017,Delhi Daredevils,PJ Cummins
496,2010,Chennai Super Kings,JM Kemp
497,2013,Kings XI Punjab,Bipul Sharma
498,2019,Kolkata Knight Riders,P Krishna
499,2019,Rajasthan Royals,O Thomas
500,2010,Rajasthan Royals,A Uniyal
501,2008,Royal Challengers Bangalore,JH Kallis
502,2009,Deccan Chargers,HH Gibbs
